timestamp,vibration_sensor,temperature_sensor,pressure_sensor,rpm_sensor,bearing_wear_sensor,health_status,actual_remaining_life,timeline,RMS,RollingMean,RollingSTD,RMS_Diff,EMA,Predicted_RUL,Actual_RUL
340,2.034,67.34,124.76,1236.6,25.37,Healthy,196,312,1.797,1.652,0.039,0.023,1.66,205.24,198.24
341,2.085,66.41,120.78,1299.09,27.06,Healthy,196,313,1.701,1.6,0.031,0.039,1.724,195.98,198.96
342,2.112,66.67,130.18,1307.32,26.46,Healthy,196,314,1.786,1.612,0.028,0.028,1.787,191.8,197.13
343,2.027,67.62,123.85,1272.1,28.86,Healthy,195,315,1.681,1.592,0.042,0.011,1.606,193.27,196.51
344,2.168,66.42,125.94,1312.33,25.1,Healthy,195,316,1.87,1.665,0.048,0.003,1.684,190.12,195.1
345,2.141,66.62,127.58,1251.86,28.65,Healthy,195,317,1.759,1.644,0.043,0.001,1.719,198.02,193.85
346,2.213,66.08,127.26,1329.29,23.37,Healthy,195,318,1.841,1.749,0.04,0.02,1.768,195.26,194.69
347,2.255,69.56,126.7,1282.8,27.76,Healthy,195,319,1.895,1.775,0.038,0.019,1.91,197.61,194.35
348,2.262,67.92,119.59,1267.75,24.73,Healthy,195,320,1.905,1.765,0.059,0.02,1.823,197.49,190.58
349,2.148,70.89,121.28,1321.39,29.61,Healthy,195,321,1.805,1.701,0.065,0.018,1.75,193.62,193.3
350,2.222,66.84,125.95,1280.71,29.94,Healthy,195,322,1.905,1.775,0.037,0.011,1.761,193.67,195.75
351,2.216,66.69,128.36,1326.39,29.81,Healthy,194,323,1.977,1.698,0.03,-0.012,1.855,195.96,193.89
352,2.161,66.21,133.1,1295.58,29.16,Healthy,194,324,1.873,1.705,0.045,0.003,1.769,199.65,196.69
353,2.321,67.76,122.81,1289.06,29.06,Healthy,194,325,2.028,1.743,0.058,0.013,1.863,190.96,190.69
354,2.231,69.24,121.93,1259.67,28.22,Healthy,194,326,1.98,1.73,0.028,0.012,1.796,185.91,193.89
355,2.107,70.82,131.36,1320.06,28.38,Healthy,194,327,1.736,1.746,0.043,0.016,1.706,194.59,193.71
356,2.069,67.73,125.73,1278.16,27.42,Healthy,194,328,1.764,1.604,0.058,-0.024,1.72,197.74,189.85
357,2.099,68.19,121.62,1272.15,26.56,Healthy,194,329,1.872,1.675,0.056,0.026,1.655,192.43,194.98
358,1.996,70.92,125.13,1282.08,30.59,Healthy,194,330,1.719,1.542,0.054,-0.001,1.641,195.78,193.38
359,2.184,66.03,128.64,1286.68,27.89,Healthy,194,331,1.909,1.675,0.029,-0.008,1.793,190.16,197.51
360,1.898,73.42,126.52,1288.73,27.86,Healthy,193,332,1.633,1.479,0.054,0.018,1.543,191.91,192.89
361,2.187,64.92,121.86,1309.58,29.46,Healthy,193,333,1.85,1.707,0.046,0.008,1.74,193.59,191.04
362,2.201,64.96,129.0,1302.66,29.66,Healthy,193,334,1.92,1.783,0.053,-0.012,1.732,191.13,193.05
363,2.217,67.43,126.49,1271.82,27.77,Healthy,193,335,1.814,1.692,0.03,0.002,1.838,190.15,198.26
364,2.217,69.72,123.37,1308.06,27.87,Healthy,193,336,1.891,1.832,0.042,0.034,1.768,192.9,196.54
365,2.085,73.81,128.08,1276.34,30.54,Healthy,193,337,1.821,1.651,0.027,0.005,1.679,192.78,194.24
366,2.184,65.96,127.12,1305.51,30.4,Healthy,193,338,1.91,1.737,0.048,0.015,1.703,194.29,193.42
367,2.198,66.13,122.75,1316.43,29.1,Healthy,193,339,1.902,1.716,0.044,0.031,1.76,193.29,192.08
368,2.115,68.57,126.67,1277.98,31.97,Healthy,192,340,1.753,1.642,0.039,0.038,1.721,195.1,189.03
369,2.202,71.58,126.27,1316.44,28.09,Healthy,192,341,1.942,1.81,0.04,0.01,1.842,196.74,190.95
370,2.122,68.68,122.0,1266.68,27.03,Healthy,192,342,1.765,1.654,0.046,0.04,1.679,194.95,191.57
371,2.169,71.09,122.68,1299.06,29.63,Healthy,192,343,1.868,1.703,0.068,0.007,1.736,190.13,190.89
372,2.101,72.39,130.33,1275.08,27.45,Healthy,192,344,1.809,1.617,0.05,0.02,1.641,196.64,195.59
373,2.106,68.47,126.94,1297.56,30.74,Healthy,192,345,1.891,1.636,0.036,-0.003,1.677,191.9,195.59
374,2.12,70.02,126.05,1318.76,34.87,Healthy,192,346,1.775,1.634,0.054,0.028,1.791,193.75,191.28
375,2.256,72.25,128.57,1301.58,31.68,Healthy,192,347,1.976,1.815,0.05,0.015,1.833,195.62,190.37
376,2.232,68.52,126.21,1320.71,29.77,Healthy,191,348,1.9,1.687,0.051,0.027,1.894,190.08,191.44
377,2.22,73.46,125.85,1295.58,30.71,Healthy,191,349,1.896,1.714,0.046,0.034,1.757,191.4,189.6
378,2.336,65.73,124.48,1297.88,32.83,Healthy,191,350,1.982,1.8,0.063,-0.004,1.804,192.32,190.0
379,2.072,71.33,126.9,1274.2,26.59,Healthy,191,351,1.805,1.642,0.043,0.045,1.636,186.42,189.62
380,2.192,70.19,125.46,1296.95,26.67,Healthy,191,352,1.935,1.706,0.055,0.023,1.794,192.71,191.9
381,2.277,72.92,126.79,1305.73,29.24,Healthy,191,353,2.007,1.749,0.062,0.017,1.787,191.38,189.64
382,2.303,67.99,124.88,1240.61,28.46,Healthy,191,354,1.836,1.733,0.052,0.03,1.882,188.1,190.9
383,2.205,66.74,130.74,1309.63,28.99,Healthy,191,355,1.876,1.728,0.024,0.014,1.759,188.0,190.44
384,2.423,71.26,124.53,1301.86,32.57,Healthy,191,356,2.106,1.892,0.038,0.029,1.978,193.69,192.27
385,2.336,68.34,130.21,1292.34,34.08,Healthy,190,357,1.951,1.892,0.046,0.009,1.873,189.04,190.85
386,2.275,68.27,126.2,1340.81,33.33,Healthy,190,358,1.956,1.776,0.045,0.028,1.802,189.23,186.66
387,2.263,71.34,124.84,1326.45,26.85,Healthy,190,359,1.85,1.774,0.055,0.044,1.815,193.24,189.92
388,2.197,71.95,128.26,1247.54,32.81,Healthy,190,360,1.936,1.689,0.048,0.026,1.79,188.35,188.66
389,2.217,72.69,127.95,1277.53,31.28,Healthy,190,361,1.742,1.775,0.027,0.013,1.751,186.12,192.32
390,2.166,70.65,126.19,1298.58,29.77,Healthy,190,362,1.777,1.729,0.04,-0.004,1.737,194.5,191.7
391,2.183,68.93,125.39,1338.42,30.46,Healthy,190,363,1.877,1.744,0.047,0.015,1.76,189.79,189.93
392,2.315,69.95,128.56,1284.33,29.81,Healthy,190,364,1.868,1.842,0.048,0.034,1.759,196.27,189.72
393,2.363,67.24,128.22,1259.86,28.28,Healthy,189,365,2.104,1.836,0.047,0.032,1.934,189.45,189.73
394,2.521,69.72,127.0,1312.32,32.11,Healthy,189,366,2.202,1.992,0.033,0.044,1.996,189.91,187.49
395,2.227,70.7,127.37,1296.45,33.24,Healthy,189,367,1.916,1.727,0.054,0.037,1.755,190.79,190.4
396,2.202,73.34,125.97,1288.89,29.33,Healthy,189,368,1.872,1.674,0.03,0.043,1.75,186.03,184.69
397,2.163,66.61,131.37,1310.85,28.21,Healthy,189,369,1.951,1.726,0.042,-0.018,1.844,184.83,185.71
398,2.365,76.04,130.61,1299.55,31.05,Healthy,189,370,2.053,1.875,0.048,0.021,1.913,186.74,188.44
399,2.042,69.71,123.5,1257.71,30.16,Healthy,189,371,1.805,1.629,0.029,0.005,1.692,186.05,188.55
400,2.314,67.56,126.8,1251.8,28.46,Healthy,189,372,1.983,1.741,0.049,0.02,1.896,189.67,191.73
401,2.265,68.93,126.87,1298.58,29.91,Healthy,188,373,1.927,1.739,0.038,-0.001,1.905,184.27,186.61
402,2.166,72.26,125.63,1316.04,28.34,Healthy,188,374,1.855,1.656,0.067,0.002,1.767,189.9,188.83
403,2.233,69.72,126.66,1281.02,31.96,Healthy,188,375,2.009,1.719,0.031,0.019,1.912,185.59,191.28
404,2.459,68.68,128.25,1325.26,29.02,Healthy,188,376,2.08,1.895,0.035,0.011,1.943,188.1,186.46
405,2.288,66.19,127.55,1305.24,25.49,Healthy,188,377,1.964,1.834,0.033,0.045,1.87,185.88,187.89
406,2.329,70.29,128.19,1261.23,30.26,Healthy,188,378,1.909,1.812,0.036,0.009,1.936,191.27,189.22
407,2.134,69.33,130.23,1287.64,35.01,Healthy,188,379,1.834,1.672,0.042,0.023,1.722,190.12,189.91
408,2.173,66.81,121.1,1296.65,27.5,Healthy,188,380,1.739,1.71,0.07,0.021,1.794,188.25,187.8
409,2.38,69.43,127.42,1291.84,28.47,Healthy,188,381,2.073,1.849,0.038,0.029,1.892,188.08,187.98
410,2.403,71.37,126.56,1304.09,33.02,Healthy,187,382,2.07,1.875,0.032,0.005,1.934,185.17,186.63
411,2.282,71.52,126.44,1295.66,30.12,Healthy,187,383,1.841,1.742,0.044,0.003,1.872,191.59,189.44
412,2.252,73.95,127.11,1274.92,28.65,Healthy,187,384,1.899,1.741,0.047,0.024,1.824,188.31,189.38
413,2.394,66.53,119.02,1306.56,27.01,Healthy,187,385,2.024,1.821,0.028,0.029,1.97,185.27,181.82
414,2.217,71.24,122.26,1287.63,30.0,Healthy,187,386,1.913,1.734,0.036,0.039,1.789,186.92,185.13
415,2.232,68.07,126.19,1325.69,27.03,Healthy,187,387,1.817,1.8,0.044,0.011,1.85,185.18,190.65
416,2.369,69.08,133.2,1267.61,31.7,Healthy,187,388,2.029,1.9,0.061,0.022,1.889,188.38,185.64
417,2.532,70.66,125.64,1287.22,27.12,Healthy,187,389,2.104,2.023,0.039,0.006,2.072,190.56,188.44
418,2.412,68.45,122.49,1319.98,29.4,Healthy,186,390,2.038,1.934,0.051,0.029,2.04,184.07,187.86
419,2.302,71.03,131.36,1295.0,31.31,Healthy,186,391,2.01,1.781,0.038,0.006,1.786,192.17,183.79
420,2.271,69.69,127.71,1302.54,32.04,Healthy,186,392,1.901,1.765,0.049,0.018,1.904,187.47,187.47
421,2.38,73.33,127.34,1249.58,31.04,Healthy,186,393,1.99,1.835,0.052,0.041,1.929,186.93,189.4
422,2.331,76.92,128.51,1237.83,31.84,Healthy,186,394,2.0,1.87,0.053,0.02,1.839,185.37,184.3
423,2.235,71.91,131.84,1291.57,27.57,Healthy,186,395,1.922,1.791,0.04,0.02,1.811,183.65,187.3
424,2.293,71.51,124.18,1270.61,31.8,Healthy,186,396,1.93,1.858,0.042,0.026,1.895,181.74,182.48
425,2.127,73.64,125.2,1345.35,28.99,Healthy,186,397,1.817,1.721,0.066,0.053,1.771,189.07,187.19
426,2.406,69.12,124.42,1281.17,29.88,Healthy,185,398,2.022,1.905,0.056,0.024,2.008,181.57,184.61
427,2.229,65.85,126.64,1278.06,33.6,Healthy,185,399,1.926,1.698,0.065,0.041,1.829,184.32,183.08
428,2.273,73.26,132.56,1319.53,29.21,Healthy,185,400,1.876,1.779,0.029,0.028,1.835,183.6,181.81
429,2.382,69.23,123.41,1208.99,30.24,Healthy,185,401,2.113,1.924,0.042,0.014,1.948,182.0,185.6
430,2.414,73.65,126.63,1275.56,28.39,Healthy,185,402,2.011,1.874,0.05,0.037,1.923,189.48,184.46
431,2.322,68.73,119.68,1302.6,31.96,Healthy,185,403,1.96,1.814,0.052,-0.0,1.86,187.38,182.49
432,2.363,67.23,128.36,1279.46,26.8,Healthy,185,404,2.067,1.814,0.038,0.026,1.96,181.95,185.12
433,2.381,72.37,127.51,1271.02,28.56,Healthy,185,405,2.028,1.814,0.017,0.03,1.965,177.91,182.98
434,2.407,75.8,127.06,1261.85,29.99,Healthy,185,406,2.115,1.852,0.039,0.016,1.912,185.37,188.25
435,2.374,70.05,126.13,1240.82,32.35,Healthy,184,407,2.014,1.845,0.079,0.028,1.893,182.72,186.3
436,2.351,67.1,129.78,1263.05,34.55,Healthy,184,408,2.052,1.816,0.06,0.025,1.938,185.45,182.31
437,2.263,73.29,126.04,1269.51,28.35,Healthy,184,409,1.945,1.848,0.036,0.024,1.89,183.76,184.9
438,2.215,71.81,126.49,1304.09,33.08,Healthy,184,410,2.012,1.751,0.05,0.027,1.78,185.02,183.41
439,2.365,74.05,124.05,1307.8,33.38,Healthy,184,411,2.004,1.76,0.041,0.043,1.915,181.0,182.99
440,2.448,72.15,126.37,1269.98,29.64,Healthy,184,412,2.035,1.974,0.044,0.042,2.044,186.99,183.14
441,2.398,70.74,124.39,1287.11,27.93,Healthy,184,413,2.098,1.852,0.049,0.028,1.932,185.76,183.05
442,2.457,67.46,127.49,1327.32,28.34,Healthy,184,414,2.055,1.937,0.049,0.029,2.01,185.9,186.22
443,2.404,70.24,129.15,1326.2,30.26,Healthy,183,415,1.995,1.919,0.046,-0.008,1.981,181.39,182.82
444,2.397,71.34,129.27,1267.66,31.7,Healthy,183,416,2.024,1.899,0.053,0.01,1.985,181.39,184.62
445,2.404,75.48,126.49,1269.67,30.55,Healthy,183,417,2.028,1.907,0.031,0.009,1.905,185.85,186.42
446,2.35,70.48,127.39,1307.3,28.57,Healthy,183,418,2.009,1.872,0.052,0.027,1.944,174.89,184.36
447,2.287,66.34,128.72,1312.44,30.33,Healthy,183,419,1.992,1.848,0.06,0.049,1.882,183.23,179.8
448,2.338,68.83,133.72,1273.55,30.92,Healthy,183,420,2.015,1.825,0.064,0.015,1.902,180.77,180.36
449,2.297,70.87,125.93,1260.49,27.57,Healthy,183,421,1.948,1.731,0.055,0.026,1.802,182.07,181.5
450,2.411,74.33,121.61,1280.53,30.33,Healthy,183,422,2.083,1.889,0.04,0.02,1.921,186.23,183.04
451,2.603,70.85,125.12,1239.66,26.73,Healthy,182,423,2.133,2.041,0.053,0.001,2.144,180.55,182.29
452,2.571,73.26,126.46,1255.07,25.98,Healthy,182,424,2.149,1.997,0.038,0.023,2.086,181.33,180.7
453,2.4,72.14,124.01,1312.47,30.52,Healthy,182,425,2.041,1.9,0.05,0.039,1.955,180.16,182.72
454,2.245,71.33,127.2,1271.85,30.47,Healthy,182,426,1.814,1.729,0.049,0.028,1.777,185.8,180.27
455,2.501,72.15,125.37,1321.28,28.15,Healthy,182,427,2.172,1.991,0.041,0.046,2.016,182.87,182.52
456,2.371,73.13,129.71,1233.04,33.66,Healthy,182,428,1.932,1.891,0.059,0.009,1.904,178.68,181.57
457,2.353,73.07,131.27,1311.49,29.57,Healthy,182,429,1.99,1.768,0.04,0.04,1.971,178.3,180.82
458,2.389,71.84,124.93,1287.05,29.78,Healthy,182,430,2.03,1.885,0.048,0.019,1.931,181.73,181.26
459,2.364,75.16,129.05,1268.91,32.38,Healthy,182,431,1.993,1.891,0.052,0.024,1.933,177.29,179.75
460,2.254,71.54,132.58,1331.93,32.27,Healthy,181,432,1.941,1.686,0.043,0.014,1.801,180.5,180.06
461,2.162,73.07,124.18,1281.98,35.44,Healthy,181,433,1.792,1.585,0.045,0.043,1.83,177.31,181.99
462,2.347,70.96,135.35,1238.28,31.46,Healthy,181,434,2.018,1.874,0.049,0.031,1.885,181.81,180.31
463,2.48,70.32,128.56,1274.97,33.39,Healthy,181,435,2.105,1.863,0.061,0.013,1.983,179.21,183.75
464,2.151,79.1,130.61,1281.13,30.81,Healthy,181,436,1.843,1.699,0.055,0.035,1.746,180.41,180.7
465,2.387,74.11,129.24,1201.89,32.39,Healthy,181,437,2.039,1.861,0.044,0.043,1.971,178.68,181.81
466,2.296,67.85,125.59,1296.81,33.07,Healthy,181,438,1.977,1.82,0.053,0.017,1.877,183.4,182.51
467,2.558,73.09,128.54,1301.85,30.93,Healthy,181,439,2.13,1.989,0.041,0.016,2.066,178.62,180.38
468,2.19,71.87,127.51,1254.52,32.46,Healthy,180,440,1.908,1.644,0.041,0.015,1.736,182.49,179.61
469,2.388,66.35,129.43,1243.82,31.16,Healthy,180,441,2.044,1.917,0.035,-0.018,1.942,185.4,182.48
470,2.448,70.15,129.96,1250.31,32.09,Healthy,180,442,2.106,1.952,0.076,0.033,1.963,179.92,176.46
471,2.342,70.38,125.98,1278.31,29.25,Healthy,180,443,2.047,1.827,0.048,0.022,1.903,182.48,178.27
472,2.349,70.66,123.53,1253.87,30.03,Healthy,180,444,2.04,1.843,0.05,0.04,1.897,181.17,179.79
473,2.462,69.98,120.26,1270.84,34.23,Healthy,180,445,2.139,1.959,0.061,0.029,2.002,178.15,179.37
474,2.506,74.47,127.18,1262.8,31.12,Healthy,180,446,2.16,1.897,0.026,0.019,1.981,178.48,179.7
475,2.381,75.11,128.59,1281.41,32.5,Healthy,180,447,1.967,1.899,0.048,0.037,1.886,175.34,181.64
476,2.483,69.24,125.02,1301.89,28.53,Healthy,179,448,2.193,1.901,0.055,0.023,2.035,177.37,178.67
477,2.445,69.01,129.86,1260.77,30.67,Healthy,179,449,2.029,1.805,0.047,0.064,2.012,178.94,178.47
478,2.445,72.91,124.11,1301.31,32.76,Healthy,179,450,2.114,1.925,0.049,0.038,2.004,177.94,177.85
479,2.457,75.43,123.95,1236.61,31.57,Healthy,179,451,2.091,1.923,0.051,0.024,2.05,174.2,177.34
480,2.435,67.47,127.16,1314.69,31.27,Healthy,179,452,2.081,1.849,0.043,0.022,1.96,182.84,180.12
481,2.317,72.22,129.19,1301.5,34.72,Healthy,179,453,1.919,1.775,0.036,0.024,1.895,181.96,178.85
482,2.414,72.0,125.21,1325.09,27.72,Healthy,179,454,2.061,1.964,0.049,0.025,1.941,178.46,181.75
483,2.19,75.47,123.46,1266.03,30.33,Healthy,179,455,1.891,1.644,0.054,0.059,1.719,179.57,177.68
484,2.509,71.71,125.82,1284.75,35.26,Healthy,179,456,2.123,1.986,0.036,0.014,2.051,183.45,179.71
485,2.422,71.68,124.01,1287.51,33.25,Healthy,178,457,2.036,1.87,0.052,0.022,1.959,184.3,177.51
486,2.419,70.08,130.01,1267.72,29.9,Healthy,178,458,2.122,1.944,0.043,0.001,2.0,175.95,179.58
487,2.229,73.95,124.16,1290.37,31.38,Healthy,178,459,1.847,1.722,0.056,0.03,1.829,183.93,174.87
488,2.662,72.0,125.11,1238.69,30.95,Healthy,178,460,2.309,2.071,0.064,0.007,2.156,174.24,178.73
489,2.576,70.71,120.01,1276.77,32.34,Healthy,178,461,2.21,2.059,0.039,0.039,2.134,172.66,178.64
490,2.412,71.58,128.88,1259.47,29.92,Healthy,178,462,2.052,1.838,0.039,0.039,1.908,180.0,178.93
491,2.268,70.11,131.43,1246.97,30.4,Healthy,178,463,1.951,1.8,0.047,0.02,1.894,183.22,179.96
492,2.488,69.8,125.37,1284.41,32.36,Healthy,178,464,2.185,1.967,0.035,0.045,1.975,176.85,178.5
493,2.719,79.61,129.7,1266.62,32.63,Healthy,177,465,2.356,2.108,0.068,0.033,2.222,179.0,177.84
494,2.583,70.32,126.22,1243.55,32.44,Healthy,177,466,2.234,2.033,0.066,0.029,2.119,173.72,176.23
495,2.568,74.0,127.03,1269.11,28.15,Healthy,177,467,2.165,2.039,0.055,0.037,2.082,177.02,175.68
496,2.571,72.95,129.4,1257.6,26.77,Healthy,177,468,2.24,1.986,0.041,0.04,2.067,180.18,178.23
497,2.572,68.51,131.58,1277.13,30.72,Healthy,177,469,2.193,1.935,0.054,0.014,2.029,172.43,179.23
498,2.417,75.77,126.35,1227.77,29.09,Healthy,177,470,2.116,1.879,0.044,0.032,1.978,180.35,179.9
499,2.452,68.64,126.73,1276.81,29.44,Healthy,177,471,2.036,1.926,0.049,0.03,1.956,176.31,175.15
500,2.604,74.57,122.45,1246.91,28.29,Healthy,177,472,2.181,2.028,0.035,0.016,2.069,177.62,177.14
501,2.413,72.44,126.36,1263.21,35.28,Healthy,176,473,2.118,1.83,0.058,0.042,1.909,178.46,179.08
502,2.368,69.73,131.07,1276.64,32.83,Healthy,176,474,2.03,1.863,0.037,0.046,1.965,175.31,175.91
503,2.321,73.33,129.75,1268.15,34.11,Healthy,176,475,1.956,1.833,0.04,0.03,1.873,176.68,175.26
504,2.492,74.13,126.73,1229.39,35.5,Healthy,176,476,2.187,1.892,0.057,0.023,2.029,176.88,175.53
505,2.416,70.35,125.31,1248.6,31.52,Healthy,176,477,2.018,1.912,0.065,0.022,1.967,177.5,176.94
506,2.522,73.96,129.52,1238.31,33.6,Healthy,176,478,2.188,1.937,0.051,0.041,2.034,179.22,180.73
507,2.421,68.67,129.0,1287.14,31.2,Healthy,176,479,2.131,1.835,0.057,0.022,2.03,181.98,174.47
508,2.452,74.29,126.94,1267.81,31.78,Healthy,176,480,1.988,1.912,0.043,0.023,2.044,172.23,177.63
509,2.487,71.46,130.49,1277.3,33.0,Healthy,176,481,2.162,1.927,0.044,0.015,1.981,184.85,178.49
510,2.36,68.87,129.58,1282.33,32.97,Healthy,175,482,1.993,1.836,0.054,0.032,1.823,174.31,173.3
511,2.546,79.66,129.25,1260.66,33.81,Healthy,175,483,2.188,2.003,0.057,0.062,2.017,176.42,173.15
512,2.594,69.92,126.91,1260.97,33.94,Healthy,175,484,2.251,1.973,0.051,0.02,2.051,174.35,174.38
513,2.821,73.32,124.05,1254.08,34.06,Healthy,175,485,2.502,2.137,0.032,0.059,2.301,172.4,176.07
514,2.216,72.27,129.18,1291.16,29.6,Healthy,175,486,1.888,1.691,0.053,0.018,1.779,172.01,176.3
515,2.638,71.69,128.32,1231.69,31.19,Healthy,175,487,2.24,2.162,0.04,0.053,2.177,175.84,178.52
516,2.582,73.27,128.07,1298.34,34.28,Healthy,175,488,2.163,1.961,0.049,0.019,2.089,178.71,174.09
517,2.535,72.47,130.79,1211.43,30.55,Healthy,175,489,2.165,2.025,0.046,0.003,2.078,173.09,172.62
518,2.468,71.88,126.44,1212.31,33.88,Healthy,174,490,2.162,1.951,0.039,0.029,1.999,175.8,175.34
519,2.457,72.56,129.64,1303.7,33.47,Healthy,174,491,2.128,1.92,0.065,0.038,1.956,178.21,175.4
520,2.494,71.18,129.17,1278.73,32.38,Healthy,174,492,2.135,2.013,0.062,0.035,2.058,170.9,174.8
521,2.767,71.85,125.76,1250.7,29.56,Healthy,174,493,2.313,2.143,0.037,0.032,2.277,171.28,177.04
522,2.614,75.0,126.34,1288.21,29.58,Healthy,174,494,2.266,2.046,0.057,0.014,2.082,175.79,172.1
523,2.611,69.02,130.87,1235.89,33.21,Healthy,174,495,2.251,2.009,0.057,0.036,2.093,170.97,170.07
524,2.599,68.55,128.63,1259.96,33.51,Healthy,174,496,2.194,2.014,0.058,0.037,2.118,175.41,170.93
525,2.651,74.01,125.31,1260.3,31.95,Healthy,174,497,2.247,2.081,0.066,0.049,2.095,175.87,176.66
526,2.609,75.23,134.41,1291.84,32.6,Healthy,173,498,2.27,2.041,0.051,0.027,2.176,170.54,176.06
527,2.625,69.02,129.49,1213.6,33.44,Healthy,173,499,2.276,2.024,0.053,0.062,2.106,169.82,175.96
528,2.803,72.55,131.44,1299.49,30.45,Healthy,173,500,2.358,2.236,0.068,0.041,2.235,178.96,171.94
529,2.53,73.42,133.08,1287.15,33.02,Healthy,173,501,2.174,1.975,0.057,-0.005,2.037,173.72,170.7
